Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC1102,Principles Of Accounting,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,BAAC1102,Principles Of Accounting,9
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC1102,Principles Of Accounting,110
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAAC1102,Principles Of Accounting,88
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC1102,Principles Of Accounting,33
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,BAAC1102,Principles Of Accounting,15
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC1102,Principles Of Accounting,13
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAAC1102,Principles Of Accounting,5
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2100,Principles Of Accounting -2,41
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2100,Principles Of Accounting -2,1
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2100,Principles Of Accounting -2,29
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,BAAC2100,Principles Of Accounting -2,3
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2100,Principles Of Accounting -2,41
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC2100,Principles Of Accounting -2,3
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2100,Principles Of Accounting -2,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2100,Principles Of Accounting -2,33
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,BAAC2100,Principles Of Accounting -2,10
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2100,Principles Of Accounting -2,9
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAAC2100,Principles Of Accounting -2,11
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2100,Principles Of Accounting -2,4
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAAC2101,Cost Accounting -1,41
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2101,Cost Accounting -1,27
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC2101,Cost Accounting -1,6
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC2101,Cost Accounting -1,14
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2101,Cost Accounting -1,61
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC2101,Cost Accounting -1,12
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2101,Cost Accounting -1,55
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC2101,Cost Accounting -1,2
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2101,Cost Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2101,Cost Accounting -1,36
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,BAAC2101,Cost Accounting -1,3
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2101,Cost Accounting -1,3
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAAC2101,Cost Accounting -1,5
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2101,Cost Accounting -1,9
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAAC2202,Corporate Accounting-1,1
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2202,Corporate Accounting-1,27
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC2202,Corporate Accounting-1,13
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC2202,Corporate Accounting-1,18
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2202,Corporate Accounting-1,24
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC2202,Corporate Accounting-1,21
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC2202,Corporate Accounting-1,4
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC2202,Corporate Accounting-1,1
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2202,Corporate Accounting-1,14
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC2202,Corporate Accounting-1,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2202,Corporate Accounting-1,4
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2202,Corporate Accounting-1,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2202,Corporate Accounting-1,13
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2203,Auditing &Control -1,6
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2203,Auditing &Control -1,13
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC2203,Auditing &Control -1,24
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2203,Auditing &Control -1,7
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC2203,Auditing &Control -1,11
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC2203,Auditing &Control -1,6
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC2203,Auditing &Control -1,4
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BAAC2203,Auditing &Control -1,1
2017/2018-Semester 1,Business Studies,BAAC3205,Corporate Accounting-2,BAAC2203,Auditing &Control -1,1
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2203,Auditing &Control -1,2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC2203,Auditing &Control -1,2
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC2203,Auditing &Control -1,3
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2203,Auditing &Control -1,2
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,BAAC2203,Auditing &Control -1,1
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2203,Auditing &Control -1,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2203,Auditing &Control -1,17
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2204,Management Accounting -1,14
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2204,Management Accounting -1,18
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC2204,Management Accounting -1,24
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2204,Management Accounting -1,13
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC2204,Management Accounting -1,18
2017/2018-Semester 1,Business Studies,BAAC3100,Intermediate Accounting - 2,BAAC2204,Management Accounting -1,3
2017/2018-Semester 1,Business Studies,BAAC3102,Banking And Insurance Accounting,BAAC2204,Management Accounting -1,2
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2204,Management Accounting -1,2
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC2204,Management Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC2204,Management Accounting -1,2
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2204,Management Accounting -1,3
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2204,Management Accounting -1,14
2017/2018-Semester 1,Business Studies,BAAC2100,Principles Of Accounting -2,BAAC2205,Accounting Application By Computer,29
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2205,Accounting Application By Computer,61
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2205,Accounting Application By Computer,24
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC2205,Accounting Application By Computer,7
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC2205,Accounting Application By Computer,13
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,BAAC2205,Accounting Application By Computer,13
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2205,Accounting Application By Computer,43
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC2205,Accounting Application By Computer,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2205,Accounting Application By Computer,29
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BAAC2205,Accounting Application By Computer,1
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BAAC2205,Accounting Application By Computer,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2205,Accounting Application By Computer,8
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,BAAC2206,Intermediate Accounting -1,1
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,BAAC2206,Intermediate Accounting -1,12
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC2206,Intermediate Accounting -1,21
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC2206,Intermediate Accounting -1,11
2017/2018-Semester 1,Business Studies,BAAC2204,Management Accounting -1,BAAC2206,Intermediate Accounting -1,18
2017/2018-Semester 1,Business Studies,BAAC2205,Accounting Application By Computer,BAAC2206,Intermediate Accounting -1,13
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAAC2206,Intermediate Accounting -1,6
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC2206,Intermediate Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2206,Intermediate Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,BAAC2206,Intermediate Accounting -1,2
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,BAAC2206,Intermediate Accounting -1,8
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC3100,Intermediate Accounting - 2,4
