Academic Year,Department Name,Main Course No,Main course Name,Detail Course No,Detail Course Name,Total Students
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,MIEE2210N,Engineering Instrumentation& Industrial Control,1
2017/2018-Semester 1,Business Studies,BAHR2101,Human Resources Management,BAMK1205,Principles Of Marketing,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAPR3311,Senior Project,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,ENTW1100,Technical Writing I,1
2017/2018-Semester 1,Business Studies,BAHR2100,Organizational Behavior,BAHR3102,Total Qualiity Management,1
2017/2018-Semester 1,Business Studies,BAAC3206,Contemporary Issues In Accounting,BAHR3102,Total Qualiity Management,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITMM2200,Fundamentals Of Multimedia,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITSE4100,Formal Language And Automata Theory,1
2017/2018-Semester 1,Business Studies,BAAC2202,Corporate Accounting-1,BAAC3102,Banking And Insurance Accounting,1
2017/2018-Semester 1,Business Studies,BAAC2206,Intermediate Accounting -1,ENGL2100,Technical Communication,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAAC2100,Principles Of Accounting -2,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EEPW3142,Electrical Insulation & Wiring Design,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,EETE2201,Cable And Fiber Splicing,1
2017/2018-Semester 1,Business Studies,BAAC2203,Auditing &Control -1,BAAC3205,Corporate Accounting-2,1
2017/2018-Semester 1,Business Studies,BAHR2101,Human Resources Management,BAHR2203,Recruitment And Selection,1
2017/2018-Semester 1,Business Studies,BAMA1101,Business Mathematics,BAAC2205,Accounting Application By Computer,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EETE2399,Diploma Project,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,EETE2320,Instrumentation And Measurment Techniques,1
2017/2018-Semester 1,Business Studies,BAAC2101,Cost Accounting -1,ITAD1100,Advanced IT Skills,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,BAMG4216,Strategic Management,1
2017/2018-Semester 1,Business Studies,BAFI4100,Computer Application In Finance,PHIL4101,Oman Civilization,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAHR2100,Organizational Behavior,1
2017/2018-Semester 1,Business Studies,BAMK1205,Principles Of Marketing,MATH1103,Applied Math,1
2017/2018-Semester 1,Business Studies,BAAC1102,Principles Of Accounting,BAAC2206,Intermediate Accounting -1,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,BAST1206,Managerial Statistics,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,BAAC2204,Management Accounting -1,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,MATH1103,Applied Math,1
2017/2018-Semester 1,Business Studies,BAAC4203,Auditing & Control -2,BAFI3301,Project Appraisal,1
2017/2018-Semester 1,Business Studies,BAAC4100,Management Accounting -2,BAMG4201,Production And Operations Management,1
2017/2018-Semester 1,Business Studies,PHIL4101,Oman Civilization,MIIE3240,Manufacturing Operation Management,1
2017/2018-Semester 1,Business Studies,BAHR4205,Practical Hr Planning,BAOM4109,Employees Relation,1
2017/2018-Semester 1,Business Studies,ENGL1208,Business Communication,BADB2301,Database For Small Business,1
2017/2018-Semester 1,Business Studies,BAEB4200,Management Information System,BAPR3311,Senior Project,1
2017/2018-Semester 1,Business Studies,BAMG1100,Introduction To Business,BAFI2210,Financial Institutions And Services,1
2017/2018-Semester 1,Business Studies,BAMG4201,Production And Operations Management,ITSE1203,Introduction To Web Technology,1
2017/2018-Semester 1,Business Studies,BAHR3102,Total Qualiity Management,ITSE1203,Introduction To Web Technology,1
2017/2018-Semester 1,Business Studies,BAAC4211,Graduation Project,BAAC4100,Management Accounting -2,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,MIME2230,Workshop Technology,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,ITIS3204,Course Project,1
2017/2018-Semester 1,Business Studies,BAEC1203,Principles Of Microeconomics,ITIS3101,Fundamentals Of Computer Security,1
2017/2018-Semester 1,Business Studies,BAMG4216,Strategic Management,BAPR4211,Senior Project,1
2017/2018-Semester 1,Business Studies,PHIL3201,Formal Arabic Communication,MIME2350,Diploma Project,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,EEPW2320,Instrumentation & Measurement Techniques,1
2017/2018-Semester 1,Business Studies,BAMG1207,Principles Of Management,BAMG2111,Entrepreneurship,1
2017/2018-Semester 1,Business Studies,BAMG2111,Entrepreneurship,EETE2270,Fundamentals Of Digital Electronics,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,MATH2200,Discrete Structure,1
2017/2018-Semester 1,Business Studies,PHIL3108,Business Ethics,ITDB101,Introduction to Database,1
2017/2018-Semester 1,Business Studies,BADB2301,Database For Small Business,ENGL3100,Public Speaking,1
2017/2018-Semester 1,Business Studies,BAMG4216,Strategic Management,BAHR3207,Management Of Diversity,1
2017/2018-Semester 1,Business Studies,BAMA3113,Research Methodology,BAAC3206,Contemporary Issues In Accounting,1
2017/2018-Semester 1,Business Studies,BAFI2109,Financial Management,BAFI2210,Financial Institutions And Services,1
2017/2018-Semester 1,Business Studies,BAAC3203,Government Accounting,BALW4115,Business Law,1
