Course Code, Course Name
PHIL4101,Oman Civilization
MATH1200,Calculus I
EEPW3300,Energy Conversion Systems
EEPW2252,Electrical Power Systems
MIME2204,Engineering Materials
MATH2100N,Calculus II
EEPW4256,Power Stations
EETE3211,Telecommunications II
MIME2230,Workshop Technology
ITSE3102,Introduction to Artificial intelligence
ITNT3112,Networking Security And Auditing
BAAC3206,Contemporary Issues In Accounting
BAAC4204,Accounting Theory
ITSE1203,Introduction To Web Technology
BAAC4102,International Accounting Standards
MIIE3240,Manufacturing and Operational Management
PHIL3108,Business Ethics
EECP4192N,Software Engineering & High Level Programming
BAMK1205,Principles Of Marketing
BAHR4104,Business Strategy & HRM
BAHR3102,Total Qualiity Management
BAMG3312,Team work Management
BAAC2100,Principles Of Accounting 2
BAFI3211,Banking Theory & Practice
BAHR2101,Human Resources Management
EETE4300,Radar systems
EEPW4355,POWER SYSTEMS OPERATION AND RELIABILITY
MIME3101,Applied mechanics II
EETE2270,Fundamental of Digital Electronics
EECP3281,Unix System Administration (Linux)
MATH3103,Math I I
ITIS4203,Portal Management
ITSE205,Data Structures and Algorithms
ITNT3111,Client Server Computing
MATH2200,Discrete Structure
ITNT101,Computer Hardware(New)
MATH201,Mathematics for IT
MATH3120N,Engineering Mathematics
ENTW1200,Technical Writing I I
ENGL2100,Technical Communication
BAHR4109,Performance Appraisal & Productivity
MATH4130,PROBABILITY & STATISTICS
ITNT1103,Computer Hardware
BAAC3203,Government Accounting
BAMA3113,Research Methodology
BAHR2204,Compensation And Benefits
BAEC2204,Principles Of Macroeconomics
ITSE3101,Data Structure And Algorithm(C++)
ITDB3208,Sql Concept And Syntax
BAEB4200,Management Information System
BAAC3102,Banking and Insurance Accounting
BAAC2203,Auditing &Control 1
BAST1206,Managerial Statistics
EEPW4259,HIGH VOLTAGE ENGINEERING
EEPW2320,Instrumentation & Measurement Techniques
EETE2102,Electronics I
EEPW3258,Machines & Drives
BAFI4212,Insurance Theory & Practice
ITDB202,Structured Query Language(New)
BAFI2210,Financial Institutions And Services
BAFI3301,Project Appraisal
BAEB2203,E-Commerce For Bus
ENTW1100,Technical Writing I
BALW4115,Business Law
ITNT103,Network Fundamentals II
ITNT102,Network Fundamentals I
BAMG2111,Entrepreneurship
MIME3221,Engineering Design I
MIEE2110N,Electrical Technology
ITSE4102,Compiler Theory
PHIL3201,Formal Arabic Communication
EEPW3257,Power Electronics
ITSE101,Programming I
CHEM1100,Fundamentals Of Chemistry
ITIS4201,Information Security And Auditing
MIME3130,Mechanics of materials
MIME2240,Fluid Mechanics I
EETE4130,Microwave Engineering
EEPW3152,Power System Analysis
BAEC1203,Principles Of Microeconomics
BAAC3204,Cost Accounting 2
BADB2301,Database For Small Business
BAFI2109,Financial Management
BAHR2203,Recruitment And Selection
ITSE102,Introduction to Operating System
EERE2201,Introduction To Renewable Energy
ITSE201,Programming II
BAAC4206,Taxation Accounting
MIEE2210N,Engg Instrumentation & Industrial Control
ITSE2100,Object Oriented Programming(Java)
EETE2210,Telecommunications I
EEPW2251,Electrical Power Technology
EECP1290,Computer Programming For Engineering
BAOM4109,Employee Relation
BAHR4205,Practical HR Planning
BAAC2205,Accounting Application By Computer
EETE3102N,Electronics II
BAAC2204,Management Accounting 1
ITSE203,Object Oriented Programming
BAHR3207,Management of Diversity
ITSE3200,Object Oriented Analysis and Design
ITSE306,Object Oriented Analysis and Design
BAMG1207,Principles Of Management
BAMG1100,Introduction To Business
ITSE305,Computer Organization
ITSE4201,Machine And Assembly Language
ITNT202,Logic Design
ENGL1208,Business Communication
BAAC2206,Intermediate Accounting 1
PHYS1211,Physics 2 (Engineering)
BAFI3200,Portfolio Management
MIME2130,Manufacturing Process
PHYS1100,Physics 1 (Engineering)
EEPW2150,Electrical Principles
ENGL4100,Business Communication Skills
